Date,Open,High,Low,Close,Volume,Market Cap
29-Apr-13,134 ,147 ,134 ,145 ,0 ,1603768865 
30-Apr-13,144 ,147 ,134 ,139 ,0 ,1542813125 
01-May-13,139 ,140 ,108 ,117 ,0 ,1298954594 
02-May-13,116 ,126 ,92 ,105 ,0 ,1168517495 
03-May-13,106 ,108 ,79 ,98 ,0 ,1085995169 
04-May-13,98 ,115 ,93 ,113 ,0 ,1250316563 
05-May-13,113 ,119 ,107 ,116 ,0 ,1288693176 
06-May-13,116 ,125 ,107 ,112 ,0 ,1249023060 
07-May-13,112 ,113 ,98 ,112 ,0 ,1240593600 
08-May-13,110 ,116 ,110 ,114 ,0 ,1264049202 
09-May-13,113 ,113 ,109 ,113 ,0 ,1254535382 
10-May-13,113 ,122 ,112 ,117 ,0 ,1305479080 
11-May-13,118 ,119 ,113 ,115 ,0 ,1284207489 
12-May-13,116 ,117 ,113 ,115 ,0 ,1281982625 
13-May-13,115 ,119 ,115 ,118 ,0 ,1315710011 
14-May-13,118 ,120 ,110 ,112 ,0 ,1243874488 
15-May-13,111 ,116 ,104 ,114 ,0 ,1274623813 
16-May-13,114 ,119 ,112 ,119 ,0 ,1325726787 
17-May-13,118 ,125 ,117 ,123 ,0 ,1373723882 
18-May-13,124 ,125 ,122 ,124 ,0 ,1379574546 
19-May-13,123 ,125 ,120 ,122 ,0 ,1363204703 
20-May-13,123 ,124 ,120 ,122 ,0 ,1363709900 
21-May-13,122 ,123 ,121 ,123 ,0 ,1374013440 
22-May-13,123 ,124 ,122 ,124 ,0 ,1385778993 
23-May-13,124 ,127 ,123 ,127 ,0 ,1417769833 
24-May-13,126 ,134 ,126 ,133 ,0 ,1491070770 
25-May-13,133 ,133 ,129 ,132 ,0 ,1477958233 
26-May-13,132 ,136 ,131 ,133 ,0 ,1495293015 
27-May-13,134 ,135 ,125 ,130 ,0 ,1454029510 
28-May-13,130 ,131 ,126 ,129 ,0 ,1446189975 
29-May-13,129 ,133 ,128 ,132 ,0 ,1483734578 
30-May-13,132 ,132 ,127 ,129 ,0 ,1445053941 
31-May-13,129 ,130 ,126 ,129 ,0 ,1447870200 
01-Jun-13,129 ,130 ,127 ,129 ,0 ,1451916165 
02-Jun-13,129 ,129 ,115 ,122 ,0 ,1373837500 
03-Jun-13,123 ,123 ,116 ,122 ,0 ,1373708058 
04-Jun-13,121 ,124 ,119 ,121 ,0 ,1365337545 
05-Jun-13,121 ,123 ,120 ,122 ,0 ,1368486469 
06-Jun-13,122 ,123 ,117 ,118 ,0 ,1327960200 
07-Jun-13,119 ,119 ,106 ,112 ,0 ,1255258638 
08-Jun-13,111 ,111 ,107 ,108 ,0 ,1219717920 
09-Jun-13,108 ,109 ,89 ,100 ,0 ,1126642500 
10-Jun-13,100 ,110 ,95 ,106 ,0 ,1198638945 
11-Jun-13,106 ,110 ,104 ,109 ,0 ,1227874725 
12-Jun-13,109 ,112 ,107 ,108 ,0 ,1219969853 
13-Jun-13,109 ,110 ,101 ,104 ,0 ,1173637400 
14-Jun-13,104 ,105 ,98 ,100 ,0 ,1128709292 
15-Jun-13,100 ,104 ,98 ,100 ,0 ,1129245604 
16-Jun-13,100 ,102 ,99 ,100 ,0 ,1124306272 
17-Jun-13,100 ,102 ,99 ,102 ,0 ,1149418485 
18-Jun-13,102 ,111 ,101 ,107 ,0 ,1214216070 
19-Jun-13,107 ,110 ,106 ,108 ,0 ,1224193838 
20-Jun-13,108 ,114 ,108 ,110 ,0 ,1246104920 
21-Jun-13,111 ,115 ,108 ,110 ,0 ,1239214238 
22-Jun-13,110 ,110 ,108 ,108 ,0 ,1226110328 
23-Jun-13,108 ,109 ,106 ,108 ,0 ,1218626490 
24-Jun-13,108 ,108 ,101 ,103 ,0 ,1163935726 
25-Jun-13,102 ,106 ,101 ,104 ,0 ,1178086140 
26-Jun-13,103 ,105 ,103 ,104 ,0 ,1179105200 
27-Jun-13,104 ,104 ,101 ,101 ,0 ,1150468023 
28-Jun-13,102 ,102 ,92 ,95 ,0 ,1073887457 
29-Jun-13,95 ,100 ,93 ,95 ,0 ,1078198524 
30-Jun-13,95 ,98 ,94 ,97 ,0 ,1096957771 
01-Jul-13,98 ,98 ,86 ,88 ,0 ,1000065296 
02-Jul-13,88 ,92 ,88 ,90 ,0 ,1024082228 
03-Jul-13,90 ,91 ,77 ,78 ,0 ,881233116 
04-Jul-13,79 ,83 ,72 ,81 ,0 ,915618609 
05-Jul-13,80 ,80 ,66 ,68 ,0 ,778411179 
06-Jul-13,69 ,75 ,67 ,70 ,0 ,799741619 
07-Jul-13,69 ,75 ,67 ,75 ,0 ,848838979 
08-Jul-13,77 ,80 ,73 ,77 ,0 ,871457940 
09-Jul-13,76 ,78 ,73 ,77 ,0 ,873841849 
10-Jul-13,77 ,87 ,76 ,87 ,0 ,988957719 
11-Jul-13,88 ,90 ,85 ,89 ,0 ,1014650063 
12-Jul-13,89 ,104 ,88 ,94 ,0 ,1067634684 
13-Jul-13,94 ,98 ,88 ,98 ,0 ,1119796120 
14-Jul-13,99 ,99 ,93 ,95 ,0 ,1080917760 
15-Jul-13,94 ,102 ,93 ,98 ,0 ,1123658944 
16-Jul-13,99 ,100 ,96 ,97 ,0 ,1113217032 
17-Jul-13,97 ,100 ,96 ,99 ,0 ,1125658000 
